mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:db:32:14,zone
00:0f:13:38:12:5b,2015-12-30 17:30:30,-42,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:31:00,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:31:10,-44,-46,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:31:20,-46,-100,-100,C,Nisca
00:0f:13:38:12:5b,2015-12-30 17:31:30,-42,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:32:00,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:33:00,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:33:10,-42,-44,-50,D,Nisca
00:0f:13:38:12:5b,2015-12-30 17:34:00,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:34:20,-26,-100,-100,C,Nisca
00:0f:13:38:12:5b,2015-12-30 17:34:30,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:35:00,-46,-100,-100,C,Nisca
00:0f:13:38:12:5b,2015-12-30 17:35:10,-100,-54,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:36:00,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:37:00,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:37:10,-40,-50,-64,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:37:20,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:37:30,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:37:40,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:38:10,-46,-100,-100,C,Nisca
00:0f:13:38:12:5b,2015-12-30 17:39:10,-100,-46,-54,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:39:20,-38,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:39:30,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:40:30,-46,-100,-100,C,Nisca
00:0f:13:38:12:5b,2015-12-30 17:41:00,-46,-100,-100,C,Nisca
00:0f:13:38:12:5b,2015-12-30 17:41:10,-46,-44,-56,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:41:20,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:42:00,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:42:30,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:43:00,-40,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:43:10,-100,-100,-62,A,Nisca
00:0f:13:38:12:5b,2015-12-30 17:43:20,-38,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:43:30,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:44:00,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:44:20,-24,-100,-100,C,Nisca
00:0f:13:38:12:5b,2015-12-30 17:44:30,-34,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:45:10,-44,-100,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:47:10,-100,-50,-52,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:49:10,-100,-56,-52,A,Nisca
00:0f:13:38:12:5b,2015-12-30 17:51:10,-100,-46,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:53:10,-42,-44,-56,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:55:10,-42,-100,-56,A,Nisca
00:0f:13:38:12:5b,2015-12-30 17:59:10,-100,-100,-50,A,Nisca
00:0f:68:50:7c:20,2015-12-30 17:38:00,-38,-100,-100,F,VavicNet
00:1f:3c:0f:81:7f,2015-12-30 17:34:00,-100,-66,-70,B,IntelCor
00:1f:3c:0f:81:7f,2015-12-30 17:35:30,-72,-100,-100,F,IntelCor
00:1f:3c:0f:81:7f,2015-12-30 17:40:50,-46,-100,-100,C,IntelCor
00:1f:3c:0f:81:7f,2015-12-30 17:43:30,-68,-70,-100,F,IntelCor
00:1f:3c:0f:81:7f,2015-12-30 17:53:10,-68,-100,-100,C,IntelCor
00:1f:3c:0f:81:7f,2015-12-30 17:55:00,-60,-100,-100,C,IntelCor
00:1f:3c:0f:81:7f,2015-12-30 17:58:20,-64,-100,-70,A,IntelCor
00:23:5a:40:16:e8,2015-12-30 17:32:20,-48,-100,-100,C,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:32:30,-46,-100,-100,C,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:33:30,-46,-100,-100,C,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:35:00,-44,-100,-100,F,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:39:30,-46,-100,-100,C,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:39:50,-42,-100,-100,F,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:40:30,-42,-100,-100,F,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:40:40,-44,-100,-100,F,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:40:50,-46,-100,-100,C,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:41:00,-46,-100,-100,C,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:41:10,-48,-100,-100,C,CompalIn
00:23:5a:40:16:e8,2015-12-30 17:43:20,-50,-100,-100,C,CompalIn
00:24:2c:82:8c:c1,2015-12-30 17:30:00,-62,-100,-100,C,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:30:40,-58,-42,-42,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:35:00,-100,-42,-38,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:37:20,-100,-50,-46,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:38:20,-62,-100,-100,C,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:39:50,-64,-100,-100,C,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:40:10,-60,-100,-100,C,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:40:40,-62,-50,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:40:50,-66,-48,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:41:00,-64,-50,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:41:10,-100,-52,-44,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:42:50,-100,-44,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:43:10,-100,-50,-46,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:43:20,-100,-52,-42,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:43:30,-58,-64,-64,C,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:44:20,-100,-46,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:44:30,-100,-50,-100,F,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:44:40,-100,-50,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:50:40,-40,-46,-38,B,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:51:00,-48,-46,-40,C,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:52:40,-44,-50,-44,B,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:56:00,-46,-48,-40,C,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:58:10,-48,-100,-42,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:59:20,-46,-50,-40,B,HonHaiPr
00:36:76:40:7c:da,2015-12-30 17:30:00,-100,-70,-70,C,
00:36:76:40:7c:da,2015-12-30 17:30:10,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:30:20,-100,-70,-66,A,
00:36:76:40:7c:da,2015-12-30 17:30:30,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:30:50,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:31:00,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:31:10,-100,-66,-68,B,
00:36:76:40:7c:da,2015-12-30 17:31:20,-100,-68,-64,A,
00:36:76:40:7c:da,2015-12-30 17:31:50,-100,-62,-68,B,
00:36:76:40:7c:da,2015-12-30 17:32:20,-100,-66,-66,A,
00:36:76:40:7c:da,2015-12-30 17:32:30,-100,-100,-64,A,
00:36:76:40:7c:da,2015-12-30 17:32:40,-100,-66,-64,A,
00:36:76:40:7c:da,2015-12-30 17:32:50,-100,-100,-64,A,
00:36:76:40:7c:da,2015-12-30 17:33:00,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:33:30,-100,-100,-66,A,
00:36:76:40:7c:da,2015-12-30 17:33:40,-100,-70,-100,F,
00:36:76:40:7c:da,2015-12-30 17:33:50,-100,-74,-68,C,
00:36:76:40:7c:da,2015-12-30 17:34:00,-100,-64,-68,B,
00:36:76:40:7c:da,2015-12-30 17:34:10,-100,-100,-66,A,
00:36:76:40:7c:da,2015-12-30 17:34:20,-100,-72,-68,B,
00:36:76:40:7c:da,2015-12-30 17:34:30,-100,-100,-66,A,
00:36:76:40:7c:da,2015-12-30 17:34:40,-100,-100,-70,C,
00:36:76:40:7c:da,2015-12-30 17:35:10,-100,-66,-100,F,
00:36:76:40:7c:da,2015-12-30 17:35:20,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:35:30,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:35:50,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:36:00,-100,-100,-62,A,
00:36:76:40:7c:da,2015-12-30 17:36:40,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:36:50,-100,-100,-64,A,
00:36:76:40:7c:da,2015-12-30 17:37:20,-100,-66,-100,F,
00:36:76:40:7c:da,2015-12-30 17:41:40,-100,-70,-78,C,
00:36:76:40:7c:da,2015-12-30 17:42:10,-100,-70,-68,B,
00:36:76:40:7c:da,2015-12-30 17:42:20,-100,-100,-70,C,
00:36:76:40:7c:da,2015-12-30 17:43:30,-100,-68,-68,B,
00:36:76:40:7c:da,2015-12-30 17:43:40,-100,-72,-72,C,
00:36:76:40:7c:da,2015-12-30 17:43:50,-100,-72,-68,B,
00:36:76:40:7c:da,2015-12-30 17:44:20,-100,-100,-72,C,
00:36:76:40:7c:da,2015-12-30 17:44:30,-100,-66,-64,A,
00:36:76:40:7c:da,2015-12-30 17:44:50,-100,-100,-66,A,
00:36:76:40:7c:da,2015-12-30 17:45:10,-100,-100,-66,A,
00:36:76:40:7c:da,2015-12-30 17:45:20,-68,-70,-74,C,
00:36:76:40:7c:da,2015-12-30 17:45:30,-100,-100,-72,C,
00:36:76:40:7c:da,2015-12-30 17:46:00,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:46:10,-72,-100,-70,C,
00:36:76:40:7c:da,2015-12-30 17:46:20,-70,-72,-66,C,
00:36:76:40:7c:da,2015-12-30 17:46:50,-64,-100,-100,C,
00:36:76:40:7c:da,2015-12-30 17:47:00,-66,-74,-70,C,
00:36:76:40:7c:da,2015-12-30 17:47:10,-66,-100,-74,F,
00:36:76:40:7c:da,2015-12-30 17:47:30,-68,-72,-72,C,
00:36:76:40:7c:da,2015-12-30 17:48:00,-70,-70,-72,C,
00:36:76:40:7c:da,2015-12-30 17:48:20,-66,-100,-72,A,
00:36:76:40:7c:da,2015-12-30 17:49:10,-100,-66,-100,F,
00:36:76:40:7c:da,2015-12-30 17:49:30,-54,-68,-66,C,
00:36:76:40:7c:da,2015-12-30 17:51:10,-64,-100,-70,A,
00:36:76:40:7c:da,2015-12-30 17:53:00,-62,-70,-76,C,
00:36:76:40:7c:da,2015-12-30 17:53:10,-100,-100,-74,C,
00:36:76:40:7c:da,2015-12-30 17:53:50,-62,-76,-76,C,
00:36:76:40:7c:da,2015-12-30 17:54:10,-64,-74,-68,C,
00:36:76:40:7c:da,2015-12-30 17:54:20,-64,-100,-100,C,
00:36:76:40:7c:da,2015-12-30 17:54:30,-62,-100,-100,C,
00:36:76:40:7c:da,2015-12-30 17:55:20,-60,-72,-66,C,
00:36:76:40:7c:da,2015-12-30 17:56:20,-100,-100,-68,A,
00:36:76:40:7c:da,2015-12-30 17:56:30,-100,-74,-100,F,
00:36:76:40:7c:da,2015-12-30 17:57:20,-66,-100,-72,A,
00:36:76:40:7c:da,2015-12-30 17:58:10,-66,-100,-72,A,
00:36:76:40:7c:da,2015-12-30 17:58:50,-100,-100,-70,C,
00:36:76:40:7c:da,2015-12-30 17:59:00,-62,-100,-100,C,
00:36:76:40:7c:da,2015-12-30 17:59:30,-64,-100,-70,A,
00:36:76:53:da:54,2015-12-30 17:31:10,-66,-100,-100,C,
00:36:76:53:da:54,2015-12-30 17:37:30,-70,-100,-100,F,
00:36:76:53:da:54,2015-12-30 17:37:50,-70,-100,-100,F,
00:61:71:ec:c0:ff,2015-12-30 17:30:00,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:30:10,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:30:20,-60,-50,-54,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:30:30,-62,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:30:40,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:30:50,-50,-52,-62,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:31:00,-62,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:31:10,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:31:20,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:31:30,-62,-50,-58,E,Apple
00:61:71:ec:c0:ff,2015-12-30 17:31:40,-50,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:31:50,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:32:00,-46,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:32:10,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:32:20,-62,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:32:30,-62,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:32:40,-60,-46,-62,E,Apple
00:61:71:ec:c0:ff,2015-12-30 17:32:50,-66,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:33:00,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:33:10,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:33:20,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:33:30,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:33:40,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:33:50,-58,-46,-56,E,Apple
00:61:71:ec:c0:ff,2015-12-30 17:34:00,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:34:10,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:34:20,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:34:30,-62,-58,-60,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:34:40,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:34:50,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:35:00,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:35:10,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:35:20,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:35:30,-52,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:35:40,-52,-62,-60,A,Apple
00:61:71:ec:c0:ff,2015-12-30 17:35:50,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:36:00,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:36:10,-52,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:36:20,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:36:30,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:36:40,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:36:50,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:37:00,-50,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:37:10,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:37:20,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:37:30,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:37:40,-52,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:37:50,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:38:00,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:38:10,-52,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:38:20,-52,-62,-56,A,Apple
00:61:71:ec:c0:ff,2015-12-30 17:38:30,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:38:40,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:38:50,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:39:00,-50,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:39:10,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:39:20,-56,-100,-60,A,Apple
00:61:71:ec:c0:ff,2015-12-30 17:39:30,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:39:40,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:39:50,-50,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:40:00,-52,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:40:10,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:40:20,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:40:30,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:40:40,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:40:50,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:41:00,-50,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:41:10,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:41:20,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:41:30,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:41:40,-62,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:41:50,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:42:00,-50,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:42:10,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:42:20,-58,-58,-60,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:42:30,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:42:40,-46,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:42:50,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:43:00,-58,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:43:10,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:43:20,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:43:30,-60,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:43:40,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:43:50,-54,-56,-60,B,Apple
00:61:71:ec:c0:ff,2015-12-30 17:44:00,-48,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:44:10,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:44:20,-56,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:44:30,-54,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:44:40,-52,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:44:50,-52,-100,-100,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:45:40,-48,-48,-100,F,Apple
00:61:71:ec:c0:ff,2015-12-30 17:46:10,-100,-58,-100,F,Apple
00:61:71:ec:c0:ff,2015-12-30 17:46:40,-56,-56,-64,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:47:10,-52,-56,-58,B,Apple
00:61:71:ec:c0:ff,2015-12-30 17:48:20,-100,-58,-100,F,Apple
00:61:71:ec:c0:ff,2015-12-30 17:48:50,-48,-46,-58,E,Apple
00:61:71:ec:c0:ff,2015-12-30 17:49:40,-46,-48,-40,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:49:50,-48,-48,-42,C,Apple
00:61:71:ec:c0:ff,2015-12-30 17:51:50,-52,-58,-64,B,Apple
00:61:71:ec:c0:ff,2015-12-30 17:52:20,-52,-60,-60,C,Apple
