mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:d4:3c:19,path,probability,vendor
00:00:00:00:00:00,2016-01-12 08:40:20,-100,-80,-100,"('C', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:00:00,-100,-74,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:00:20,-100,-74,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:00:30,-100,-76,-100,"('C', 'A')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:01:10,-100,-72,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:01:30,-100,-74,-100,"('C', 'B')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:02:10,-100,-72,-78,"('B', 'C')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:02:20,-100,-72,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:02:30,-100,-74,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:02:40,-100,-74,-100,"('D', 'B')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:02:50,-100,-74,-76,"('A', 'D')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:03:00,-100,-100,-78,"('D', 'A')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:03:10,-100,-72,-80,"('B', 'D')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:03:20,-100,-76,-100,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:03:30,-100,-68,-100,"('C', 'B')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:03:40,-100,-74,-78,"('B', 'C')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:03:50,-100,-72,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:04:20,-100,-74,-100,"('C', 'A')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:04:30,-100,-70,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:04:40,-100,-72,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:05:00,-100,-74,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:05:10,-100,-74,-100,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:05:20,-100,-72,-100,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:05:30,-100,-64,-100,"('A', 'C')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:05:40,-100,-74,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:06:00,-100,-74,-100,"('C', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:06:20,-100,-64,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:06:30,-100,-68,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:06:40,-100,-70,-100,"('A', 'B')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:06:50,-100,-100,-76,"('B', 'A')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:07:00,-100,-74,-100,"('A', 'B')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:07:10,-100,-100,-78,"('D', 'A')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:07:30,-100,-72,-78,"('A', 'B')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:07:50,-100,-74,-76,"('B', 'C')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:08:10,-100,-70,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:08:20,-100,-74,-100,"('D', 'B')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:08:50,-100,-74,-76,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:09:00,-100,-72,-76,"('B', 'D')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:09:30,-100,-74,-100,"('D', 'B')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:09:40,-100,-74,-76,"('B', 'C')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:09:50,-100,-72,-100,"('C', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:10:20,-100,-66,-100,"('A', 'B')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:10:30,-100,-76,-80,"('A', 'C')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:11:00,-100,-100,-76,"('B', 'A')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:11:10,-100,-72,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:11:50,-100,-72,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:12:20,-100,-76,-100,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:12:30,-100,-74,-100,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:14:00,-100,-72,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:14:20,-100,-74,-100,"('C', 'A')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:14:30,-100,-70,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:14:40,-100,-74,-100,"('C', 'A')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:14:50,-100,-70,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:15:00,-100,-74,-100,"('C', 'A')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:15:20,-100,-70,-100,"('D', 'B')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:15:30,-100,-72,-74,"('A', 'D')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:16:10,-100,-100,-78,"('D', 'C')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:16:30,-100,-76,-76,"('C', 'A')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:16:40,-100,-72,-76,"('A', 'B')",0.59999999999999998,00:00:00
00:00:00:00:00:12,2016-01-12 08:17:00,-100,-72,-78,"('D', 'C')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:17:10,-100,-70,-74,"('A', 'D')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:17:20,-100,-100,-74,"('B', 'A')",1.0,00:00:00
00:00:00:00:00:12,2016-01-12 08:17:50,-100,-70,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:18:10,-100,-72,-100,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:18:20,-100,-70,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:18:30,-100,-70,-100,"('C', 'B')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:18:40,-100,-74,-76,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:19:00,-100,-72,-76,"('A', 'D')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:19:10,-100,-100,-78,"('D', 'A')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:19:20,-100,-74,-78,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:19:30,-100,-72,-78,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:19:40,-100,-72,-78,"('B', 'C')",0.80000000000000004,00:00:00
00:00:00:00:00:12,2016-01-12 08:19:50,-100,-72,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:20:00,-100,-74,-100,"('B', 'A')",0.40000000000000002,00:00:00
00:00:00:00:00:12,2016-01-12 08:20:10,-100,-72,-100,"('A', 'C')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:20:40,-100,-72,-100,"('A', 'B')",0.20000000000000001,00:00:00
00:00:00:00:00:12,2016-01-12 08:20:50,-100,-74,-100,"('B', 'A')",0.40000000000000002,00:00:00
