mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:db:32:14,zone
00:0f:13:38:12:5b,2015-12-30 17:31:10,-44,-46,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:35:10,-100,-54,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:37:10,-40,-50,-64,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:51:10,-100,-46,-100,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:53:10,-42,-44,-56,F,Nisca
00:0f:13:38:12:5b,2015-12-30 17:59:10,-100,-100,-50,A,Nisca
00:1f:3c:0f:81:7f,2015-12-30 17:35:30,-72,-100,-100,F,IntelCor
00:1f:3c:0f:81:7f,2015-12-30 17:43:30,-68,-70,-100,F,IntelCor
00:24:2c:82:8c:c1,2015-12-30 17:40:40,-62,-50,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:40:50,-66,-48,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:41:00,-64,-50,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:44:20,-100,-46,-40,A,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:44:30,-100,-50,-100,F,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:52:40,-44,-50,-44,B,HonHaiPr
00:24:2c:82:8c:c1,2015-12-30 17:58:10,-48,-100,-42,A,HonHaiPr
00:36:76:40:7c:da,2015-12-30 17:33:40,-100,-70,-100,F,
00:36:76:40:7c:da,2015-12-30 17:35:10,-100,-66,-100,F,
00:36:76:40:7c:da,2015-12-30 17:37:20,-100,-66,-100,F,
00:36:76:40:7c:da,2015-12-30 17:41:40,-100,-70,-78,C,
00:36:76:40:7c:da,2015-12-30 17:49:10,-100,-66,-100,F,
00:36:76:40:7c:da,2015-12-30 17:56:30,-100,-74,-100,F,
00:36:76:53:da:54,2015-12-30 17:37:30,-70,-100,-100,F,
00:36:76:53:da:54,2015-12-30 17:37:50,-70,-100,-100,F,
00:61:71:ec:c0:ff,2015-12-30 17:32:40,-60,-46,-62,E,Apple
00:61:71:ec:c0:ff,2015-12-30 17:33:50,-58,-46,-56,E,Apple
00:61:71:ec:c0:ff,2015-12-30 17:43:50,-54,-56,-60,B,Apple
00:61:71:ec:c0:ff,2015-12-30 17:45:40,-48,-48,-100,F,Apple
